Doug LaMalfa,A,1,I,R,http://www.ontheissues.org/CA/Doug_LaMalfa.htm
Jared Huffman,F,2,I,D,http://www.ontheissues.org/CA/Jared_Huffman.htm
John Garamendi,F,3,I,D,http://www.ontheissues.org/CA/John_Garamendi.htm
Tom McClintock,A,4,I,R,http://www.ontheissues.org/Tom_McClintock.htm
Mike Thompson,F,5,I,D,http://www.ontheissues.org/CA/Mike_Thompson.htm
Doris Matsui,F,6,I,Drhttp://www.ontheissues.org/CA/Doris_Matsui.htm
Ami Bera,F,7,I,D,http://www.ontheissues.org/CA/Ami_Bera.htm
Paul Cook,N,8,I,R,http://www.ontheissues.org/CA/Paul_Cook.htm
Jerry McNerney,F,9,I,D,http://www.ontheissues.org/CA/Jerry_McNerney.htm
Jeff Denham,A,10,I,R,http://www.ontheissues.org/CA/Jeff_Denham.htm
Mark DeSaulnier,F,11,I,D,http://www.ontheissues.org/CA/Mark_DeSaulnier.htm
Nancy Pelosi,F,12,I,D,http://www.ontheissues.org/CA/Nancy_Pelosi.htm
Barbara Lee,F,13,I,D,http://www.ontheissues.org/CA/Barbara_Lee.htm
Jackie Speier,F,14,I,D,http://www.ontheissues.org/CA/Jackie_Speier.htm
Eric Swalwell,F,15,I,D,http://www.ontheissues.org/CA/Eric_Swalwell.htm
